chall;version;p1;p1wins1v1;p1wins2v2;p2;p2wins1v1;p2wins2v2;date;message
227;1.09v3b60.8;OTTO;3;0;MISHA;5;0;2023-10-22;A pack of 8 more replays are included, but not counted as challenge because they were played without neutral. FFG Score 5-3 for Misha aswell
226;1.09v3b60.8;ECTH;3;0;MISHA;5;0;2023-10-21;
225;1.09v3b60.8;ECTH;5;0;MISHA;4;0;2023-10-21;
224;1.09v3b60.8;OTTO;2;0;MISHA;5;0;2023-10-16;
223;1.09v3b60.8;OTTO;2;0;MISHA;5;0;2023-10-16;
222;1.09v3b60.8;ECTH;0;0;MISHA;5;0;2023-10-16;
221;1.09v3b60.7;ECTH;5;0;OTTO;4;0;2023-10-16;
220;1.09v3b60.7;ANDY;1;0;OTTO;3;0;2023-10-09;
219;1.09v3b60.7;MISHA;5;0;OTTO;2;0;2023-10-08;
218;1.09v3b60.4;MISHA;5;0;OTTO;1;0;2023-10-08;
217;ADD_AND_KICK;GRENDAL;0;0;NINKA;0;0;2023-10-08;
216;ADD_AND_KICK;RAINY;0;0;THORIN;0;0;2023-10-08;
215;1.09v3b60.4;MISHA;4;0;GRENDAL;0;0;2023-10-08;
214;1.09v3b60.4;ANDY;5;0;OTTO;4;0;2023-10-05;
213;1.09v3b60.4;OTTO;5;0;MISHA;0;0;2023-10-04;
212;1.09v3b60.4;ECTH;4;0;MISHA;5;0;2023-10-02;
211;1.09v3b60.4;ECTH;5;0;OTTO;3;0;2023-10-02;
210;1.09v3b60.4;ECTH;5;0;OTTO;3;0;2023-10-02;
209;1.09v3b60.4;ANDY;5;0;MISHA;4;0;2023-10-01;
208;1.09v3b60.4;MISHA;5;0;ECTH;2;0;2023-09-30;
207;1.09v3b60.4;MISHA;4;0;OTTO;5;0;2023-09-29;
206;1.09v3b60.4;MISHA;5;0;OTTO;3;0;2023-09-26;
205;1.09v3b60.4;MISHA;3;0;ECTH;5;0;2023-09-24;
204;1.09v3b60.4;MISHA;5;0;OTTO;4;0;2023-09-19;
203;1.09v3b60.4;MISHA;5;0;OTTO;4;0;2023-09-18;
202;1.09v3b60.4;MISHA;5;0;OTTO;1;0;2023-09-15;
201;1.09v3b60.2;MISHA;5;0;OTTO;3;0;2023-09-12;
200;1.09v3b60.2;LOLO;10;0;OTTO;1;0;2023-09-10;Lothlorien has took over Arch's place by overkill! It was also agreed Archangel would be demoted to tier 5 untill Guerrilla shows up to restore balance in earth and discord.
199;1.09v3b60.2;OTTO;5;0;MISHA;0;0;2023-09-05;
198;1.09v3b60.2;ECTH;6;0;MISHA;4;0;2023-09-03;
197;1.09v3b60.2;OTTO;1;0;ANDY;5;0;2023-08-31;
196;1.09v3b60.2;ECTH;2;0;MISHA;5;0;2023-08-06;
195;1.09v3b60.2;LOLO;5;0;MISHA;3;0;2023-08-06;
194;1.09v3b60;LOLO;5;0;ANDY;3;0;2023-07-20;
193;1.09v3b59;ECTH;3;0;SAURON;4;0;2023-04-29;
192;ADD_AND_KICK;NINKA;0;0;DOBBY;0;0;2023-04-29;
191;ADD_AND_KICK;THORIN;0;0;LUXUS;0;0;2023-04-29;
190;1.09v3b59;ECTH;5;0;MISHA;1;0;2023-04-29;
189;1.09v3b58;ECTH;5;0;LOLO;0;0;2023-04-12;
188;1.09v3b58;ECTH;5;0;ANDY;3;0;2023-03-06;
187;1.09v3b58;ECTH;5;0;ANDY;2;0;2023-03-02;
186;1.09v3b56;MUSTAFA;1;0;ENUMA;4;0;2022-12-31;
